Test for integer base:
2^0 = 1: mults1 = 0, mults2 = 0, mults3 = 0
2^1 = 2: mults1 = 1, mults2 = 0, mults3 = 0
2^2 = 4: mults1 = 2, mults2 = 1, mults3 = 1
2^3 = 8: mults1 = 3, mults2 = 2, mults3 = 2
2^4 = 16: mults1 = 4, mults2 = 3, mults3 = 2
2^5 = 32: mults1 = 5, mults2 = 4, mults3 = 3
2^6 = 64: mults1 = 6, mults2 = 5, mults3 = 3
2^7 = 128: mults1 = 7, mults2 = 6, mults3 = 4
2^8 = 256: mults1 = 8, mults2 = 7, mults3 = 3
2^9 = 512: mults1 = 9, mults2 = 8, mults3 = 4
2^10 = 1024: mults1 = 10, mults2 = 9, mults3 = 4
2^11 = 2048: mults1 = 11, mults2 = 10, mults3 = 5
2^12 = 4096: mults1 = 12, mults2 = 11, mults3 = 4
2^13 = 8192: mults1 = 13, mults2 = 12, mults3 = 5
2^14 = 16384: mults1 = 14, mults2 = 13, mults3 = 5
2^15 = 32768: mults1 = 15, mults2 = 14, mults3 = 6
2^16 = 65536: mults1 = 16, mults2 = 15, mults3 = 4
2^17 = 131072: mults1 = 17, mults2 = 16, mults3 = 5
2^18 = 262144: mults1 = 18, mults2 = 17, mults3 = 5
2^19 = 524288: mults1 = 19, mults2 = 18, mults3 = 6
2^20 = 1048576: mults1 = 20, mults2 = 19, mults3 = 5
2^21 = 2097152: mults1 = 21, mults2 = 20, mults3 = 6
2^22 = 4194304: mults1 = 22, mults2 = 21, mults3 = 6
2^23 = 8388608: mults1 = 23, mults2 = 22, mults3 = 7
2^24 = 16777216: mults1 = 24, mults2 = 23, mults3 = 5
2^25 = 33554432: mults1 = 25, mults2 = 24, mults3 = 6
2^26 = 67108864: mults1 = 26, mults2 = 25, mults3 = 6
2^27 = 134217728: mults1 = 27, mults2 = 26, mults3 = 7
2^28 = 268435456: mults1 = 28, mults2 = 27, mults3 = 6
2^29 = 536870912: mults1 = 29, mults2 = 28, mults3 = 7
2^30 = 1073741824: mults1 = 30, mults2 = 29, mults3 = 7
2^31 = 2147483648: mults1 = 31, mults2 = 30, mults3 = 8
2^32 = 0: mults1 = 32, mults2 = 31, mults3 = 5

Test for floating-point base:
0.5^0 = 1: mults1 = 0, mults2 = 0, mults3 = 0
0.5^1 = 0.5: mults1 = 1, mults2 = 0, mults3 = 0
0.5^2 = 0.25: mults1 = 2, mults2 = 1, mults3 = 1
0.5^3 = 0.125: mults1 = 3, mults2 = 2, mults3 = 2
0.5^4 = 0.0625: mults1 = 4, mults2 = 3, mults3 = 2
0.5^5 = 0.03125: mults1 = 5, mults2 = 4, mults3 = 3
0.5^6 = 0.015625: mults1 = 6, mults2 = 5, mults3 = 3
0.5^7 = 0.0078125: mults1 = 7, mults2 = 6, mults3 = 4
0.5^8 = 0.00390625: mults1 = 8, mults2 = 7, mults3 = 3
0.5^9 = 0.00195312: mults1 = 9, mults2 = 8, mults3 = 4
0.5^10 = 0.000976562: mults1 = 10, mults2 = 9, mults3 = 4
0.5^11 = 0.000488281: mults1 = 11, mults2 = 10, mults3 = 5
0.5^12 = 0.000244141: mults1 = 12, mults2 = 11, mults3 = 4
0.5^13 = 0.00012207: mults1 = 13, mults2 = 12, mults3 = 5
0.5^14 = 6.10352e-005: mults1 = 14, mults2 = 13, mults3 = 5
0.5^15 = 3.05176e-005: mults1 = 15, mults2 = 14, mults3 = 6
0.5^16 = 1.52588e-005: mults1 = 16, mults2 = 15, mults3 = 4
0.5^17 = 7.62939e-006: mults1 = 17, mults2 = 16, mults3 = 5
0.5^18 = 3.8147e-006: mults1 = 18, mults2 = 17, mults3 = 5
0.5^19 = 1.90735e-006: mults1 = 19, mults2 = 18, mults3 = 6
0.5^20 = 9.53674e-007: mults1 = 20, mults2 = 19, mults3 = 5
0.5^21 = 4.76837e-007: mults1 = 21, mults2 = 20, mults3 = 6
0.5^22 = 2.38419e-007: mults1 = 22, mults2 = 21, mults3 = 6
0.5^23 = 1.19209e-007: mults1 = 23, mults2 = 22, mults3 = 7
0.5^24 = 5.96046e-008: mults1 = 24, mults2 = 23, mults3 = 5
0.5^25 = 2.98023e-008: mults1 = 25, mults2 = 24, mults3 = 6
0.5^26 = 1.49012e-008: mults1 = 26, mults2 = 25, mults3 = 6
0.5^27 = 7.45058e-009: mults1 = 27, mults2 = 26, mults3 = 7
0.5^28 = 3.72529e-009: mults1 = 28, mults2 = 27, mults3 = 6
